Data,Est.class,Peak,AR,Dimming
2011-3-31,C2,22:28,AR1178,18
2011-4-1,C4,02:04,AR1183,14
2011-4-1,C3,03:56,AR1176,9
2011-4-6,C1,21:52,,13
2011-4-7,C2,04:40,,23
2011-4-7,C2,16:44,,13
2011-4-9,C1,15:52,AR1184,14
2011-4-11,C1,16:08,,16
2011-4-11,C2,20:38,,9
2011-4-12,C1,03:48,AR1190,8
2011-4-12,C2,06:08,,8
2011-4-12,C2,12:34,,10
2011-4-13,C2,03:32,AR1191,10
2011-4-13,C1,06:30,,4
2011-4-13,C2,13:46,,21
2011-4-14,C1,20:10,AR1190,13
2011-4-15,C2,03:58,AR1190,37
2011-4-15,C1,09:36,AR1190,21
2011-4-15,C2,11:40,AR1193,16
2011-4-15,C1,13:52,AR1190,21
2011-4-15,C1,14:54,AR1190,11
2011-4-15,C1,16:18,AR1190,19
2011-4-15,M2,17:18,AR1190,120
2011-4-16,C4,01:04,AR1190,28
2011-4-16,C2,03:18,AR1190,34
2011-4-16,C3,05:44,AR1190,29
2011-4-16,C1,06:18,,10
2011-4-16,C1,09:12,,13
2011-4-16,C3,14:08,AR1190,30
2011-4-16,C2,14:16,,16
2011-4-16,C5,17:06,,31
2011-4-16,C2,23:38,,16
2011-4-17,C2,14:22,,10
2011-4-18,C1,02:40,AR1193,8
2011-4-18,C3,04:06,,38
2011-4-18,C2,19:04,AR1193,7
2011-4-20,C1,16:26,AR1195,4
2011-4-20,C6,19:42,AR1195,27
2011-4-21,M1,09:54,AR1195,22
2011-4-21,C5,14:54,AR1195,26
2011-4-21,C5,22:46,AR1195,43
2011-4-22,C1,00:24,AR1195,23
2011-4-22,C5,02:04,AR1195,54
2011-4-22,M2,05:04,AR1195,80
2011-4-22,C2,05:04,AR1193,12
2011-4-22,C2,08:12,AR1195,46
2011-4-22,C2,09:54,AR1195,22
2011-4-22,C8,11:36,AR1195,28
2011-4-22,C2,12:38,AR1195,18
2011-4-22,C1,13:56,AR1195,11
2011-4-22,M2,16:08,AR1195,36
2011-4-22,C4,17:08,AR1195,23
2011-4-22,C5,18:02,AR1195,41
2011-4-22,C4,19:38,AR1195,36
2011-4-22,C3,22:08,AR1195,45
2011-4-22,C3,22:50,AR1193,17
2011-4-23,C1,02:04,AR1195,9
2011-4-23,C2,03:58,AR1195,13
2011-4-23,C1,05:02,AR1195,10
2011-4-23,C2,07:36,AR1195,9
2011-4-24,C3,19:30,,14
2011-4-24,C2,20:10,,16
2011-4-27,C2,02:38,,30
2011-4-28,C2,02:42,,5
2011-4-29,C7,00:28,,13
2011-4-29,C2,20:54,AR1195,11
2011-4-29,C2,22:58,AR1195,9
2011-4-30,C1,08:26,AR1199,14
2011-4-30,C2,09:08,AR1199,9
2011-4-30,C4,11:54,AR1195,19
2011-4-30,C1,12:34,AR1199,15
2011-4-30,C4,14:04,AR1195,62
2011-5-1,C1,08:30,,22
2011-5-1,C8,23:38,,18
2011-5-3,C2,10:54,AR1205,6
2011-5-9,C2,05:16,,4
2011-5-9,C2,17:44,,11
2011-5-9,C8,21:06,,44
2011-5-12,C2,12:42,,15
2011-5-15,C1,14:28,AR1208,5
2011-5-15,C8,23:38,AR1208,15
2011-5-18,C2,13:04,,12
2011-5-18,C2,18:34,,13
2011-5-25,C1,21:06,,10
2011-5-25,C2,22:00,,11
2011-5-27,C2,15:00,,18
2011-5-27,C3,16:58,,108
2011-5-27,C1,00:42,,91
2011-5-28,C8,03:36,,69
2011-5-28,C6,09:02,,98
2011-5-28,C7,10:50,AR1226,70
2011-5-28,C1,12:48,AR1226,24
2011-5-28,C1,17:26,AR1226,8
2011-5-28,C2,18:50,AR1226,29
2011-5-28,M1,21:38,AR1226,94
2011-5-28,C2,23:02,AR1226,19
2011-5-28,C1,00:16,AR1226,29
2011-5-29,C6,02:00,AR1226,57
2011-5-29,C1,06:20,AR1226,11
2011-5-29,C1,07:34,AR1226,9
2011-5-29,C3,10:24,,16
2011-5-29,M1,10:40,AR1226,138
2011-5-29,M1,21:38,,53
2011-5-30,C1,02:54,AR1226,4
2011-5-30,C7,06:06,AR1226,45
2011-5-30,C3,11:08,AR1227,36
2011-5-31,C1,04:46,AR1227,8
2011-6-1,C2,02:52,AR1228,14
2011-6-1,C2,03:00,AR1227,22
2011-6-1,C5,17:18,AR1226,83
2011-6-2,C1,02:48,AR1226,5
2011-6-2,C5,07:48,AR1227,29
2011-6-2,C2,09:50,AR1226,34
2011-6-2,C2,10:32,AR1231,7
2011-6-3,C4,16:24,AR1226,21
2011-6-3,C2,22:50,AR1226,18
2011-6-6,C1,01:40,AR1226,7
2011-6-7,M4,06:50,AR1226,88
2011-6-9,C6,03:52,,39
2011-6-14,C1,00:48,,14
2011-6-14,C2,11:32,,16
2011-6-14,M1,22:14,,42
2011-6-15,C3,11:58,AR1236,23
2011-6-15,C3,14:34,AR1234,16
2011-6-16,C4,10:22,AR1236,20
2011-6-16,C2,12:12,,12
2011-6-17,C1,22:12,AR1234,10
2011-6-17,C4,23:46,AR1234,25
2011-6-18,C1,01:02,AR1234,7
2011-6-19,C3,15:24,AR1234,4
2011-6-19,C2,16:38,AR1237,27
2011-6-21,C8,03:44,AR1236,72
2011-7-3,C1,00:16,AR1244,12
2011-7-3,C2,11:02,AR1244,7
2011-7-8,C4,09:52,,11
2011-7-8,C3,11:54,,17
2011-7-8,C3,13:34,,16
2011-7-8,C2,15:06,,8
2011-7-11,C1,11:04,AR1249,12
2011-7-11,C2,11:06,AR1247,8
2011-7-12,C2,14:50,AR1247,4
2011-7-26,C2,03:40,AR1260,26
2011-7-26,C4,22:44,AR1260,46
2011-7-27,C3,02:20,AR1260,52
2011-7-27,C1,06:50,AR1260,13
2011-7-27,C2,10:12,AR1260,22
2011-7-27,C3,11:32,AR1260,22
2011-7-27,C2,13:24,AR1260,25
2011-7-27,M1,16:14,AR1260,38
2011-7-27,C4,21:24,AR1260,33
2011-7-27,C3,21:58,AR1260,31
2011-7-27,C3,23:54,AR1260,34
2011-7-28,C6,02:28,AR1260,86
2011-7-28,C3,04:50,AR1260,20
2011-7-28,C2,07:08,AR1260,13
2011-7-28,C3,07:58,AR1260,26
2011-7-28,C5,12:18,AR1260,26
2011-7-28,C1,14:56,AR1260,29
2011-7-28,C1,18:16,AR1261,5
2011-7-28,C4,20:38,AR1260,19
2011-7-29,C3,00:40,AR1261,10
2011-7-29,C4,01:14,AR1260,20
2011-7-29,C3,12:18,AR1261,23
2011-7-29,C1,13:54,AR1263,6
2011-7-29,C4,16:44,AR1261,21
2011-7-29,C2,18:14,AR1261,23
2011-7-30,X2,02:10,AR1261,38
2011-7-30,C1,12:18,,9
2011-7-31,C4,02:56,AR1261,19
2011-7-31,C2,19:12,AR1265,15
2011-7-31,C1,19:42,AR1261,8
2011-7-31,C2,20:48,AR1261,11
2011-7-31,C2,22:06,AR1261,14
2011-8-1,C1,00:48,AR1263,3
2011-8-1,C2,01:08,AR1261,23
2011-8-1,C4,07:42,AR1261,22
2011-8-1,C2,12:44,AR1261,7
2011-8-1,C1,17:18,AR1261,21
2011-8-1,C4,22:14,AR1261,15
2011-8-2,C1,04:40,AR1261,24
2011-8-2,M2,06:26,AR1261,118
2011-8-2,C1,09:28,AR1261,2
2011-8-3,M1,03:40,AR1261,49
2011-8-3,M2,04:34,AR1263,15
2011-8-3,C1,04:52,AR1261,4
2011-8-3,C8,08:02,AR1261,29
2011-8-3,C1,10:42,AR1261,14
2011-8-3,M7,13:56,AR1261,103
2011-8-3,C2,19:02,AR1263,10
2011-8-3,C7,19:30,AR1261,32
2011-8-4,C1,01:14,AR1261,19
2011-8-4,C3,02:24,AR1261,11
2011-8-4,X2,04:00,AR1261,86
2011-8-4,C2,08:02,AR1261,23
2011-8-4,C2,09:22,AR1261,5
2011-8-4,C2,13:08,AR1263,13
2011-8-4,C2,14:42,AR1263,10
2011-8-4,C3,21:22,AR1261,15
2011-8-4,C5,23:30,AR1261,8
2011-8-5,C1,06:12,,11
2011-8-5,C1,12:54,AR1263,13
2011-8-5,C2,17:52,AR1263,12
2011-8-6,C8,08:48,AR1267,12
2011-8-6,C1,11:48,AR1267,8
2011-8-6,C1,12:28,AR1263,12
2011-8-6,C1,22:54,AR1263,24
2011-8-7,C1,02:22,AR1263,23
2011-8-7,C2,03:22,AR1263,14
2011-8-7,C1,04:10,AR1263,12
2011-8-7,C1,05:54,AR1263,16
2011-8-7,C1,09:28,AR1263,3
2011-8-7,C1,14:34,AR1263,13
2011-8-8,C2,16:40,AR1263,10
2011-8-8,M4,18:18,AR1263,35
2011-8-8,C8,22:16,AR1263,31
2011-8-8,C4,23:48,AR1263,52
2011-8-9,M2,04:06,AR1263,80
2011-8-9,X4,08:06,AR1263,90
2011-8-9,C2,13:48,AR1263,20
2011-8-9,C3,16:00,AR1263,12
2011-8-9,C2,18:22,AR1263,23
2011-8-9,C5,23:46,AR1263,33
2011-8-10,C3,09:42,,11
2011-8-10,C5,10:50,,26
2011-8-10,C1,15:32,,22
2011-8-11,C1,07:56,,13
2011-8-11,C8,10:30,,62
2011-8-15,C2,05:10,,26
2011-8-15,C4,11:32,,21
2011-8-17,C3,02:16,AR1272,111
2011-8-17,C4,11:00,AR1271,37
2011-8-17,C5,16:38,AR1272,23
2011-8-18,C2,00:34,AR1271,12
2011-8-18,C1,13:14,AR1272,9
2011-8-21,C2,18:44,AR1272,18
2011-8-21,C1,23:18,AR1272,9
2011-8-25,C1,22:06,AR1271,6
2011-8-26,C1,03:36,AR1271,4
2011-8-26,C2,13:16,AR1271,8
2011-8-29,C3,07:34,,20
2011-8-29,C2,11:14,,26
2011-8-29,C3,11:40,,30
2011-8-29,C2,21:48,,5
2011-8-30,C1,03:14,AR1275,6
2011-8-30,C1,05:16,AR1275,7
2011-8-30,C8,22:52,AR1281,18
2011-8-31,C2,11:30,AR1283,16
2011-9-1,C3,12:52,AR1283,11
2011-9-1,C3,18:26,AR1283,12
2011-9-2,C2,15:20,AR1281,6
2011-9-3,C2,06:10,AR1280,13
2011-9-3,C3,08:02,AR1281,12
2011-9-3,C2,17:38,AR1280,3
2011-9-3,C2,21:10,AR1280,44
2011-9-4,C4,01:10,AR1280,38
2011-9-4,C7,04:58,,30
